order_id,customer_id,product_id,quantity,unit_price,total_price,order_date,shipping_address,payment_method,status
30,707,130,30,661.8,7237.55,2021-06-20,49 Division Trail,Apple Pay,shipped
31,60,548,45,475.71,3310.07,2022-09-12,394 Hooker Road,PayPal,delivered
32,260,79,40,707.37,108.25,2021-05-31,6759 Fallview Circle,PayPal,processing
33,829,43,96,233.66,5030.29,2020-11-11,77 Kedzie Drive,PayPal,pending
34,15,739,44,832.81,4966.99,2020-07-15,2 Southridge Crossing,credit card,pending
35,477,408,23,142.58,4415.07,2022-08-06,2642 Cottonwood Circle,credit card,processing
36,843,421,40,727.46,2296.35,2022-09-25,242 Forster Plaza,PayPal,processing
37,11,767,15,673.59,6055.35,2020-06-18,61 La Follette Place,credit card,delivered
38,873,484,27,931.54,4023.54,2022-05-28,656 Express Avenue,credit card,delivered
39,199,450,9,381.45,3071.34,2021-03-26,762 Bunting Trail,credit card,shipped
40,947,797,87,192.73,6684.96,2022-02-15,4 Sunnyside Circle,credit card,delivered
41,329,708,52,514.8,5836.59,2021-05-19,98 Anthes Circle,credit card,shipped
42,418,768,80,631.27,4895.78,2021-09-26,993 Scott Terrace,credit card,processing
43,766,487,19,671.18,7712.97,2022-06-20,4696 Bashford Court,PayPal,processing
44,846,245,88,571.56,5852.26,2020-12-17,09 Russell Park,credit card,pending
45,779,298,33,614.13,4554.13,2022-09-29,711 Cody Lane,PayPal,pending
46,422,818,5,799.64,9097.58,2020-12-12,200 Buell Junction,Apple Pay,pending
47,973,44,62,692.03,5937.55,2022-09-08,88646 Farmco Street,credit card,shipped
48,778,296,52,571.34,1436.63,2021-10-08,62365 Bluestem Road,credit card,processing
49,664,372,10,705.28,8865.57,2021-04-14,9758 Lotheville Avenue,Apple Pay,delivered
50,925,609,93,858.98,7997.81,2022-09-01,862 Fisk Point,PayPal,pending
51,98,600,33,337.05,8635.09,2022-03-17,818 Kedzie Street,credit card,delivered
52,853,478,37,896.72,5674.86,2021-04-17,71673 Browning Drive,PayPal,processing
53,725,223,71,413.07,7838.01,2021-05-01,4 John Wall Center,credit card,shipped
54,348,603,22,728.33,2376.11,2022-08-24,06399 Harper Hill,PayPal,shipped
55,940,607,61,446.75,7578.41,2020-12-23,11394 Graceland Lane,PayPal,shipped
56,424,272,20,643.3,2328.01,2021-02-17,9 Little Fleur Crossing,PayPal,delivered
57,705,201,89,975.29,1631.21,2022-10-19,61 Ridgeway Avenue,Apple Pay,delivered
58,933,566,62,657.33,3848.88,2020-12-21,66 Hayes Junction,credit card,pending
59,641,389,32,316.64,1856.42,2022-06-13,719 Hallows Pass,PayPal,delivered
60,200,775,56,502.3,3275.82,2021-11-07,99914 Hermina Hill,PayPal,shipped
61,74,61,87,606.3,9809.68,2021-01-08,3 Delladonna Hill,Apple Pay,shipped
62,219,323,1,986.6,8400.61,2020-01-01,1 Michigan Hill,credit card,pending
63,312,219,26,306.01,4606.5,2020-11-29,32465 Bonner Alley,PayPal,pending
64,500,57,40,737.68,9126.0,2020-09-06,06 Butterfield Pass,PayPal,delivered
65,343,854,26,919.12,8206.32,2020-12-22,517 East Avenue,credit card,shipped
66,52,889,97,895.96,7155.16,2020-07-09,04 Northfield Parkway,PayPal,processing
67,756,456,77,669.44,8821.37,2022-03-01,9516 Surrey Road,PayPal,pending
68,29,706,33,118.41,1844.8,2020-02-17,65701 Prentice Place,Apple Pay,pending
69,189,37,25,382.6,6825.3,2022-10-30,4197 Lotheville Hill,Apple Pay,processing
70,434,353,88,419.78,987.28,2021-09-22,7 Union Court,Apple Pay,processing
71,587,167,41,198.33,8735.54,2022-05-28,7592 Delladonna Circle,Apple Pay,processing
72,683,458,75,879.72,8938.5,2022-10-24,1699 Bowman Parkway,Apple Pay,shipped
73,24,918,2,529.4,6221.13,2020-06-24,45482 Buena Vista Street,Apple Pay,shipped
74,961,977,84,180.84,8110.3,2020-08-28,37 Quincy Drive,Apple Pay,delivered
75,27,681,36,777.98,6826.05,2022-12-22,5 Roxbury Circle,credit card,processing
76,918,720,77,954.41,912.14,2022-12-07,71917 Gateway Avenue,PayPal,shipped
77,842,120,31,440.01,5620.11,2020-09-03,8254 Melrose Point,Apple Pay,delivered
78,636,196,93,862.11,4312.95,2021-08-28,1 Fair Oaks Crossing,PayPal,delivered
79,466,979,50,770.56,7400.05,2022-12-20,63689 Eastlawn Park,Apple Pay,delivered
80,430,610,82,734.15,801.09,2020-04-25,2667 Helena Park,PayPal,processing
81,419,285,52,558.81,7829.8,2022-10-13,8931 Autumn Leaf Pass,credit card,shipped
82,936,378,45,560.88,9923.81,2020-02-19,651 Village Green Parkway,credit card,shipped
83,604,748,48,79.64,3504.9,2022-08-11,8053 Twin Pines Park,PayPal,pending
84,566,256,35,782.63,4840.69,2021-01-30,982 Rieder Hill,Apple Pay,pending
85,678,132,60,123.74,7598.93,2020-09-18,1277 Grasskamp Parkway,credit card,shipped
86,574,539,55,409.87,4389.13,2022-05-23,3887 Ludington Place,PayPal,pending
87,980,444,76,307.23,9339.83,2022-02-02,43 Talisman Avenue,Apple Pay,processing
88,894,164,53,864.59,3731.12,2020-09-08,5598 Sycamore Parkway,Apple Pay,delivered
89,688,549,69,79.97,9342.11,2020-06-17,209 Florence Road,Apple Pay,pending
90,952,208,84,131.83,3206.15,2022-06-02,9976 Gale Road,PayPal,processing
91,227,401,2,921.25,6497.47,2022-02-15,03428 Wayridge Circle,credit card,pending
92,967,242,4,163.95,2725.88,2021-03-12,8638 Columbus Center,credit card,shipped
93,511,838,48,499.9,9772.78,2020-02-08,25136 Spaight Lane,PayPal,processing
94,223,567,74,974.58,2653.16,2022-07-18,16 Westend Place,PayPal,shipped
95,207,253,79,523.96,9460.25,2020-09-27,894 Portage Road,Apple Pay,delivered
96,912,153,53,910.51,1954.64,2020-06-11,8 Becker Trail,PayPal,pending
97,333,654,71,834.82,5523.38,2020-12-28,2 David Crossing,PayPal,pending
98,258,780,52,808.51,6875.28,2020-05-11,2804 Little Fleur Park,credit card,delivered
99,690,184,73,523.09,6687.98,2021-05-15,75 Northwestern Drive,PayPal,pending
100,812,419,87,668.62,6637.82,2020-12-21,7 Sachtjen Pass,PayPal,processing
101,571,581,80,597.85,11.19,2021-11-08,126 Cambridge Avenue,credit card,processing
102,643,291,14,543.51,9222.08,2022-07-05,6 Bartelt Junction,Apple Pay,processing
103,251,727,78,846.42,7417.82,2020-04-05,74597 Moose Place,credit card,shipped
104,103,119,88,11.9,8592.17,2021-07-28,936 Graedel Junction,Apple Pay,delivered
105,729,672,66,892.05,2234.13,2021-02-14,5808 Center Circle,Apple Pay,delivered
106,568,865,83,395.08,6793.55,2021-09-21,0 Granby Way,credit card,pending
107,901,875,54,863.33,564.03,2020-11-14,9 Lukken Plaza,credit card,shipped
108,630,856,71,788.77,1633.89,2021-09-21,87559 Loomis Court,credit card,delivered
109,658,491,69,259.36,3203.67,2022-01-22,28 Judy Court,credit card,processing
110,498,129,85,586.39,2858.17,2022-06-19,2805 Del Mar Avenue,PayPal,pending
111,504,300,85,304.26,5762.23,2020-06-24,67 Delladonna Point,credit card,pending
112,886,126,100,756.33,4868.2,2021-12-25,80 Del Mar Park,credit card,pending
113,195,384,84,834.4,993.95,2021-03-25,7 Pearson Alley,credit card,pending
114,263,306,78,938.4,7155.93,2022-09-01,8350 Pepper Wood Terrace,credit card,delivered
115,986,594,93,515.19,7341.38,2022-05-14,50541 Green Alley,PayPal,delivered
116,307,341,30,626.32,4122.64,2020-08-02,85 New Castle Center,PayPal,shipped
117,791,620,87,602.08,5065.26,2020-11-07,344 Hallows Court,PayPal,processing
118,689,294,63,136.72,8542.75,2020-10-27,52561 Utah Avenue,Apple Pay,delivered
119,825,212,47,878.9,6580.49,2021-05-02,5311 Meadow Valley Junction,PayPal,delivered
120,849,39,99,254.29,2123.61,2021-10-30,80145 Mccormick Way,PayPal,processing
121,302,886,30,76.65,4557.62,2021-02-27,5 Ramsey Point,PayPal,delivered
122,56,88,58,68.41,5946.77,2022-11-16,59279 Westridge Lane,PayPal,pending
123,699,145,48,625.17,2477.55,2020-10-11,4756 Morningstar Trail,Apple Pay,shipped
124,403,21,78,200.11,5943.58,2022-01-22,48 Nancy Way,PayPal,shipped
125,453,94,71,73.01,2390.56,2021-07-28,8305 Dryden Junction,credit card,shipped
126,815,705,10,256.57,1618.05,2021-07-02,40 Waubesa Trail,Apple Pay,pending
127,736,596,71,467.6,77.46,2020-10-27,1054 Granby Point,credit card,delivered
128,518,427,31,629.75,5463.06,2022-04-07,62 Barnett Alley,credit card,shipped
129,763,260,95,785.07,1477.65,2022-09-10,2 Tennyson Lane,credit card,pending
130,810,868,46,941.93,4639.02,2021-08-25,18227 Weeping Birch Park,credit card,delivered
131,700,986,54,603.27,5934.23,2021-12-10,35 Twin Pines Crossing,PayPal,delivered
132,631,910,33,666.14,5945.39,2020-09-05,4807 Hazelcrest Lane,Apple Pay,pending
133,439,386,90,468.98,8857.41,2021-12-03,174 Nobel Terrace,PayPal,pending
134,76,851,27,180.6,9027.88,2021-03-13,2 North Center,Apple Pay,delivered
135,742,174,37,363.08,5208.14,2022-01-14,592 Esker Hill,Apple Pay,delivered
136,274,981,58,871.44,3953.48,2022-09-10,560 Eastlawn Center,Apple Pay,delivered
137,715,360,79,678.81,6610.18,2020-05-06,68494 Prairie Rose Terrace,Apple Pay,delivered
138,443,822,12,185.51,5512.07,2021-07-06,4652 Killdeer Lane,PayPal,pending
139,671,309,66,196.64,6501.37,2022-06-11,72 Clyde Gallagher Plaza,credit card,delivered
140,735,645,3,578.41,5691.76,2021-10-04,73 Harbort Court,credit card,pending
141,888,906,40,799.91,9359.52,2021-10-22,36558 Warbler Drive,PayPal,delivered
142,204,38,72,676.14,6218.68,2021-08-03,62959 Golden Leaf Park,PayPal,processing
143,740,411,33,394.7,3422.99,2021-01-11,46515 Messerschmidt Center,Apple Pay,shipped
144,170,141,62,552.62,6685.17,2020-09-22,4 Merry Park,Apple Pay,shipped
145,467,599,6,719.03,8221.25,2020-06-19,14 Dovetail Terrace,Apple Pay,processing
146,712,546,81,381.22,6938.84,2021-02-18,49586 Gale Center,credit card,delivered
147,780,124,19,363.98,3948.59,2022-06-10,05249 Ridgeview Center,credit card,processing
148,785,864,15,78.04,2785.31,2021-10-27,5970 High Crossing Plaza,Apple Pay,delivered
149,167,429,91,191.74,6800.39,2021-05-31,123 Golf View Alley,credit card,processing
150,452,172,85,214.01,8950.43,2021-09-27,7 Stephen Park,PayPal,shipped
151,864,517,7,269.91,3952.55,2020-08-10,4007 Center Trail,credit card,delivered
152,236,313,20,715.77,2673.3,2022-12-12,94 Pine View Lane,PayPal,processing
153,358,617,42,725.32,8423.79,2022-06-06,6871 Mcguire Parkway,PayPal,processing
154,304,718,48,514.94,9420.08,2021-08-04,89 Lakeland Place,credit card,processing
155,834,804,11,125.51,7713.14,2022-05-16,7485 Basil Crossing,credit card,delivered
156,152,639,24,191.16,3608.75,2021-09-20,09752 Dixon Terrace,Apple Pay,shipped
157,516,86,75,772.25,7159.24,2021-10-20,1394 Reindahl Point,PayPal,delivered
158,479,731,4,452.79,3187.9,2022-03-27,4670 Waywood Parkway,Apple Pay,processing
159,180,941,62,50.08,3864.71,2020-12-28,03 Clove Place,PayPal,pending
160,588,876,45,139.04,5372.76,2020-12-04,50 Waxwing Way,credit card,processing
161,153,20,16,533.91,1570.4,2020-03-02,6 Kipling Hill,Apple Pay,processing
162,824,829,92,590.52,8104.1,2020-04-19,607 Rigney Junction,PayPal,shipped
163,811,283,78,204.48,7874.32,2021-01-05,45 Hagan Court,Apple Pay,delivered
164,319,19,53,143.89,9411.7,2022-05-25,9045 Hazelcrest Hill,PayPal,processing
165,954,168,48,392.95,8601.09,2022-08-26,90778 Talmadge Court,PayPal,delivered
166,887,475,32,96.13,9873.59,2022-07-18,62284 Fairfield Terrace,PayPal,delivered
167,483,193,17,698.43,6325.15,2022-02-17,5 Garrison Lane,credit card,pending
168,16,428,77,428.72,4435.24,2020-11-09,9 Washington Hill,PayPal,processing
169,530,433,83,724.82,9219.97,2022-09-05,54414 Rusk Crossing,PayPal,delivered
170,335,356,90,358.3,706.24,2021-11-15,22137 Commercial Junction,credit card,processing
171,395,234,13,942.23,4871.32,2020-06-10,6409 New Castle Point,PayPal,shipped
172,474,997,64,729.73,682.07,2021-05-18,808 Sheridan Park,credit card,pending
173,191,466,19,969.94,1150.89,2022-12-21,29893 Rutledge Lane,Apple Pay,processing
174,525,324,52,233.82,1079.7,2021-10-04,478 Forest Run Junction,credit card,shipped
175,830,373,55,178.34,1512.52,2022-06-21,5491 Nelson Hill,PayPal,shipped
176,833,65,2,49.43,4726.95,2021-02-15,97 Nova Court,Apple Pay,pending
177,924,869,29,748.84,3267.54,2020-07-20,687 Express Circle,Apple Pay,pending
178,63,862,45,494.32,2353.98,2022-05-22,99149 Eastwood Alley,credit card,pending
179,501,926,19,617.61,913.91,2022-03-09,51712 Nevada Point,PayPal,pending
180,299,354,26,848.6,8678.4,2020-02-04,1 Clemons Parkway,PayPal,shipped
181,727,500,34,494.51,9829.97,2022-11-28,68 Helena Center,Apple Pay,pending
182,774,117,48,355.53,8877.9,2022-08-18,232 Emmet Court,credit card,pending
183,211,842,1,546.44,8215.96,2021-01-06,65684 Westport Way,Apple Pay,delivered
184,751,669,31,549.51,1077.53,2020-02-09,6 Burning Wood Plaza,PayPal,shipped
185,78,85,38,313.79,7423.6,2020-05-26,0 Milwaukee Crossing,credit card,delivered
186,173,826,33,944.12,8781.62,2022-12-19,72 Prairieview Junction,PayPal,pending
187,352,149,56,212.95,9071.49,2022-11-23,15256 Glendale Hill,Apple Pay,delivered
188,332,32,46,978.35,430.08,2022-09-18,45384 Monica Terrace,PayPal,shipped
189,161,744,1,888.23,7412.71,2020-03-05,160 Crowley Park,Apple Pay,processing
190,31,637,72,224.92,2420.65,2022-08-04,3 Nevada Court,PayPal,delivered
191,188,956,67,468.49,4326.04,2021-02-16,510 Hollow Ridge Parkway,credit card,shipped
192,650,392,9,38.1,2050.01,2021-10-07,0756 Maywood Alley,Apple Pay,pending
193,865,899,66,518.76,9463.09,2020-02-23,45 Johnson Street,PayPal,pending
194,685,464,75,107.28,6506.01,2022-03-30,7701 Anzinger Circle,credit card,pending
195,680,733,92,465.84,100.2,2020-12-02,3 Annamark Hill,PayPal,delivered
196,253,87,58,781.97,8064.06,2022-09-01,2 Sunfield Court,PayPal,processing
197,909,902,38,960.96,1458.22,2020-06-18,17 Holy Cross Junction,PayPal,delivered
198,460,25,66,490.95,5407.72,2020-07-12,226 Spaight Park,Apple Pay,shipped
199,651,72,16,816.37,9062.94,2022-05-31,2 Red Cloud Pass,credit card,pending
200,956,545,49,415.37,9083.88,2020-03-07,2 Eggendart Crossing,PayPal,shipped
201,674,604,87,962.62,6224.57,2020-12-29,7 Lukken Road,PayPal,processing
202,485,621,88,616.17,1123.99,2021-04-29,3974 Granby Avenue,credit card,processing
203,454,996,77,693.18,3935.29,2021-01-13,4729 Warrior Pass,credit card,processing
204,768,554,66,625.14,8398.58,2022-10-22,43 Hooker Hill,PayPal,delivered
205,412,713,5,663.5,4514.3,2021-01-18,73774 International Parkway,PayPal,delivered
206,818,366,95,207.19,2663.07,2021-11-07,9 East Trail,PayPal,pending
207,535,350,46,921.08,9576.25,2022-01-29,195 Anderson Plaza,PayPal,pending
208,290,398,52,112.92,1140.63,2020-03-23,9 Jay Street,credit card,processing
209,272,205,35,908.73,2895.62,2022-11-22,48665 Anhalt Trail,credit card,delivered
210,1,251,60,143.7,7895.89,2020-03-04,05 Calypso Trail,Apple Pay,delivered
211,896,159,5,964.1,1331.92,2022-06-24,65 Shasta Parkway,PayPal,shipped
212,298,690,84,679.48,7065.97,2022-06-22,4450 Acker Center,credit card,delivered
213,442,35,57,883.69,5951.08,2021-01-06,67 Del Sol Plaza,credit card,pending
214,988,106,14,617.51,7035.67,2021-05-25,83662 Shelley Avenue,credit card,shipped
215,663,905,21,832.55,6155.19,2021-05-16,4107 Dorton Terrace,PayPal,delivered
216,745,623,16,28.17,2223.26,2022-08-30,5 Meadow Valley Way,credit card,processing
217,44,650,83,268.12,3340.14,2022-10-06,2 Banding Avenue,credit card,pending
218,280,47,15,736.45,9675.1,2022-04-20,04192 Blue Bill Park Court,Apple Pay,shipped
219,73,241,12,739.95,4033.82,2020-01-28,06814 Superior Alley,PayPal,delivered
220,787,134,81,55.54,6976.72,2022-08-14,35 Stephen Place,Apple Pay,pending
221,239,259,45,201.22,8919.71,2021-07-06,27 Spaight Road,PayPal,delivered
222,202,507,60,494.99,1595.97,2020-09-23,99 Jay Court,PayPal,pending
223,178,169,70,754.69,3779.81,2020-03-19,1259 Shoshone Plaza,Apple Pay,shipped
224,975,595,37,748.03,7970.58,2020-11-25,4 Jana Terrace,Apple Pay,shipped
225,8,186,28,894.83,8379.55,2022-12-09,77265 Springview Circle,PayPal,shipped
226,23,192,89,19.88,8649.81,2020-10-20,50 Bashford Junction,PayPal,processing
227,225,304,89,424.55,114.93,2020-01-26,30507 Armistice Crossing,PayPal,shipped
228,287,841,43,639.49,3540.64,2021-06-21,6945 Vera Way,credit card,pending
229,859,338,99,742.47,3913.57,2022-12-03,68 Tennessee Trail,PayPal,shipped
230,965,898,33,849.37,7437.4,2020-04-27,52 South Avenue,credit card,delivered
231,882,95,91,490.11,9545.34,2021-02-26,47 Miller Avenue,PayPal,processing
232,428,552,57,395.34,7294.44,2022-05-14,05709 Harper Place,Apple Pay,shipped
233,777,951,69,722.2,2298.42,2021-03-28,932 Amoth Alley,Apple Pay,pending
234,563,194,18,278.24,8775.83,2021-04-28,714 Carioca Pass,PayPal,delivered
235,159,743,34,398.9,8541.2,2022-04-12,26 Clemons Plaza,credit card,processing
236,81,162,44,145.25,3060.25,2020-02-14,40 Village Street,PayPal,shipped
237,743,606,41,853.28,2446.71,2022-05-30,4244 Sage Crossing,PayPal,pending
238,64,591,50,270.36,4311.74,2022-07-21,7 Washington Crossing,Apple Pay,pending
239,150,612,30,532.67,2293.8,2021-04-29,0 Mitchell Drive,Apple Pay,shipped
240,182,635,58,552.64,9540.03,2020-05-06,934 Lake View Plaza,PayPal,processing
241,711,199,67,547.99,5468.86,2021-05-29,4 Colorado Court,credit card,pending
242,564,569,9,765.66,3438.84,2020-07-27,59891 Myrtle Court,PayPal,delivered
243,411,128,95,468.93,5045.14,2020-02-09,165 Hazelcrest Hill,Apple Pay,pending
244,994,455,30,548.65,8488.23,2021-02-20,44 Warrior Pass,credit card,processing
245,666,584,10,304.51,7919.67,2020-10-19,6 Delladonna Avenue,Apple Pay,processing
246,146,625,59,387.89,6983.9,2022-04-05,78143 Lakewood Gardens Court,PayPal,pending
247,930,592,24,404.46,1877.4,2020-05-03,17523 Steensland Road,PayPal,delivered
248,662,369,34,943.95,7841.12,2020-11-20,33686 Green Court,credit card,pending
249,584,564,91,386.66,1215.5,2022-10-06,840 Crowley Junction,credit card,delivered
250,185,755,68,45.57,1671.37,2020-05-20,1 Coolidge Court,PayPal,delivered
251,480,712,11,307.38,7835.42,2020-12-28,22 American Junction,PayPal,processing
252,136,136,84,7.33,7336.68,2020-03-10,3 Paget Place,credit card,shipped
253,131,624,98,606.7,1194.29,2021-12-30,043 Raven Parkway,Apple Pay,pending
254,40,794,21,578.09,8278.78,2022-10-17,602 Hansons Point,PayPal,pending
255,92,773,38,380.49,1133.48,2022-12-03,92797 Northfield Trail,PayPal,delivered
256,249,438,48,666.09,3783.06,2022-07-26,0 Waxwing Parkway,credit card,shipped
257,347,422,94,744.54,7028.88,2021-06-02,7 Menomonie Center,credit card,delivered
258,998,207,5,286.29,1355.47,2022-02-25,525 Kim Hill,credit card,shipped
259,362,445,42,920.64,9760.55,2022-03-12,073 Ohio Junction,PayPal,pending
260,464,565,58,559.14,4280.66,2021-09-21,55546 Roth Way,credit card,pending
261,521,958,57,62.77,6516.92,2022-09-07,0 Delaware Trail,credit card,delivered
262,28,879,39,676.52,5800.67,2020-08-10,64 Vernon Alley,Apple Pay,processing
263,374,90,65,366.99,1409.19,2020-09-19,45632 Westend Alley,Apple Pay,delivered
264,647,463,60,659.64,2965.39,2020-08-28,1149 Basil Avenue,Apple Pay,pending
265,931,437,3,596.02,8435.25,2022-09-26,2 Magdeline Center,credit card,delivered
266,91,409,48,535.61,753.3,2022-04-15,81 Saint Paul Way,Apple Pay,shipped
267,437,383,26,76.54,1575.88,2021-10-04,8 Mitchell Avenue,Apple Pay,processing
268,783,414,27,969.58,249.49,2022-08-10,16 5th Trail,credit card,shipped
269,128,81,47,633.35,1102.94,2020-01-21,4129 Carey Place,credit card,pending
270,85,50,51,566.16,4163.32,2022-10-12,460 Sauthoff Pass,PayPal,pending
271,592,311,91,4.53,2847.59,2022-12-18,95 Pepper Wood Crossing,PayPal,shipped
272,100,501,79,801.32,4484.94,2021-08-27,6 Forest Run Road,credit card,delivered
273,114,636,74,294.07,8289.68,2022-01-03,9083 Golf Course Drive,Apple Pay,processing
274,835,881,49,201.63,8288.83,2020-02-05,25696 Coleman Road,Apple Pay,delivered
275,289,480,83,336.36,9592.15,2021-10-29,45 Anhalt Road,Apple Pay,pending
276,455,721,19,324.21,261.09,2021-02-23,46078 Gina Road,Apple Pay,pending
277,88,150,66,935.44,8816.89,2022-10-09,00155 Karstens Circle,credit card,delivered
278,340,442,89,940.87,4580.67,2021-06-25,7573 Schurz Place,PayPal,delivered
279,145,870,54,247.35,3339.81,2020-03-20,741 Golf Course Alley,Apple Pay,pending
280,132,157,35,769.5,9344.35,2022-01-03,10 Shelley Pass,credit card,pending
281,186,923,79,726.04,9047.0,2021-08-08,0106 Pepper Wood Center,credit card,pending
282,851,400,100,761.77,8224.81,2022-09-10,03 Blaine Plaza,credit card,delivered
283,629,180,7,857.93,1883.57,2022-09-12,01 Pennsylvania Terrace,Apple Pay,pending
284,93,127,57,364.41,5399.31,2022-06-18,6480 Del Mar Terrace,Apple Pay,delivered
285,892,41,77,31.33,8807.36,2021-02-28,39344 Columbus Drive,PayPal,processing
286,555,310,13,153.63,4924.22,2021-09-09,48797 Prentice Pass,credit card,pending
287,739,446,34,431.11,2041.46,2022-01-28,01 Summit Point,credit card,delivered
288,90,589,22,307.54,4963.99,2020-07-15,7 Birchwood Street,PayPal,delivered
289,907,4,48,893.02,3364.36,2021-01-24,99 Maple Wood Center,PayPal,shipped
290,203,13,8,306.17,8264.17,2021-05-10,067 Veith Pass,Apple Pay,pending
291,575,845,64,365.84,2167.89,2020-08-19,8953 Vernon Drive,credit card,pending
292,193,257,20,806.8,1817.05,2021-06-14,4755 Declaration Hill,credit card,processing
293,770,628,17,672.72,1611.45,2021-10-11,07 Heffernan Terrace,Apple Pay,processing
294,149,920,46,297.0,2075.39,2021-01-05,34 Huxley Junction,credit card,shipped
295,510,98,61,620.94,8497.96,2022-12-02,5170 Gerald Junction,PayPal,delivered
296,192,6,13,118.73,7624.08,2020-02-08,68858 Comanche Pass,credit card,processing
297,18,227,18,199.02,4329.79,2022-12-16,25212 Thierer Street,Apple Pay,shipped
298,938,935,6,139.93,4455.59,2022-05-05,60 Katie Plaza,credit card,processing
299,122,80,6,216.16,3097.08,2022-09-16,852 Hermina Avenue,credit card,shipped
300,285,878,38,725.13,8306.84,2021-07-17,9533 Stone Corner Road,Apple Pay,pending
301,444,863,6,764.1,2918.72,2020-05-22,8769 Dryden Way,PayPal,shipped
302,620,303,93,723.78,6258.65,2022-01-08,0475 Elgar Court,Apple Pay,pending
303,325,520,67,489.39,31.42,2022-04-27,40569 Moose Crossing,credit card,processing
304,171,1000,96,896.88,5461.59,2021-07-06,7 Waywood Court,credit card,delivered
305,177,362,82,807.37,8022.49,2020-09-25,196 Elmside Alley,PayPal,processing
306,586,671,3,24.22,6104.94,2022-11-11,8851 2nd Avenue,credit card,pending
307,556,349,8,695.42,4465.79,2021-03-19,6 Golden Leaf Lane,PayPal,shipped
308,155,139,90,280.73,598.43,2020-12-30,364 Helena Pass,Apple Pay,pending
309,720,736,10,482.86,191.52,2021-05-24,22787 Pearson Circle,credit card,processing
310,718,932,41,155.51,5231.32,2022-05-16,29 Loomis Avenue,credit card,delivered
311,889,728,17,349.92,6697.79,2020-02-03,2 Towne Trail,PayPal,delivered
312,414,436,21,659.24,3722.4,2021-12-02,3 Di Loreto Point,PayPal,delivered
313,230,949,23,336.15,1142.35,2022-12-09,7 Hanover Lane,credit card,shipped
314,291,522,57,841.25,2232.44,2020-09-17,2 Hollow Ridge Park,credit card,shipped
315,675,171,83,524.54,3760.2,2022-02-09,7 Spenser Parkway,PayPal,shipped
316,484,485,72,533.53,4223.53,2021-09-28,65 Michigan Lane,credit card,delivered
317,850,877,6,381.38,8832.38,2022-08-27,0697 Southridge Parkway,PayPal,processing
318,911,583,64,87.41,3068.13,2022-09-01,4190 Everett Circle,Apple Pay,shipped
319,176,165,33,346.22,5479.55,2020-06-09,4738 Londonderry Lane,Apple Pay,shipped
320,426,510,23,212.3,7363.28,2022-04-21,640 Rigney Parkway,Apple Pay,shipped
321,731,571,90,34.34,7515.98,2022-06-12,751 Lotheville Lane,PayPal,shipped
